Tempo   |   E[N]          |    E[W]         | Erro_little                   |  Ocupação
13600    | 9.310604        | 1.856578        | -0.00000000014003376236        | 0.903070
13700    | 9.286947        | 1.851362        | -0.00000000016166801231        | 0.903029
13800    | 9.277771        | 1.850245        | -0.00000000018052936923        | 0.903010
13900    | 9.388513        | 1.871939        | -0.00000000019884538460        | 0.903555
14000    | 9.365548        | 1.867348        | -0.00000000023893775847        | 0.903447
14100    | 9.325396        | 1.859961        | -0.00000000014295586936        | 0.902813
14200    | 9.325628        | 1.860017        | -0.00000000011714007542        | 0.903025
14300    | 9.295982        | 1.854347        | -0.00000000010879652734        | 0.902828
14400    | 9.257363        | 1.847137        | -0.00000000010505196713        | 0.902504
14500    | 9.261863        | 1.847785        | -0.00000000006921396789        | 0.902925
14600    | 9.222715        | 1.841314        | -0.00000000008399858586        | 0.902210
14700    | 9.194049        | 1.836037        | -0.00000000000121325172        | 0.901994
14800    | 9.234277        | 1.843940        | -0.00000000006356692950        | 0.902589
14900    | 9.219244        | 1.842019        | -0.00000000004179590007        | 0.902446
15000    | 9.202326        | 1.838945        | -0.00000000000964561764        | 0.902351
15100    | 9.239028        | 1.845996        | 0.00000000002475886163        | 0.902402
15200    | 9.257881        | 1.849216        | -0.00000000002468603100        | 0.902739
15300    | 9.263386        | 1.850162        | -0.00000000003652012026        | 0.903124
15400    | 9.235023        | 1.844466        | 0.00000000007862865914        | 0.902843
15500    | 9.214452        | 1.841227        | 0.00000000016082246646        | 0.902899
15600    | 9.195840        | 1.837590        | 0.00000000018027535020        | 0.902936
15700    | 9.171434        | 1.832816        | 0.00000000024902213625        | 0.902536
15800    | 9.145097        | 1.827285        | 0.00000000020557777702        | 0.902432
15900    | 9.150841        | 1.828443        | 0.00000000018105694721        | 0.902522
16000    | 9.126580        | 1.823515        | 0.00000000018612489328        | 0.902512
16100    | 9.105724        | 1.819585        | 0.00000000017451107226        | 0.902237
16200    | 9.104051        | 1.819193        | 0.00000000016662582425        | 0.902349
16300    | 9.105125        | 1.819038        | 0.00000000021818635787        | 0.902591
16400    | 9.092210        | 1.817400        | 0.00000000030790658911        | 0.902354
16500    | 9.060687        | 1.810535        | 0.00000000029758773223        | 0.902281
16600    | 9.109973        | 1.818970        | 0.00000000030180657973        | 0.902649
16700    | 9.139323        | 1.824391        | 0.00000000031152502800        | 0.903042
16800    | 9.119471        | 1.820924        | 0.00000000040492942333        | 0.902698
16900    | 9.121841        | 1.822233        | 0.00000000052995297040        | 0.902653
17000    | 9.139256        | 1.825296        | 0.00000000052458837274        | 0.902781
17100    | 9.129444        | 1.822946        | 0.00000000058256688362        | 0.902912
17200    | 9.112193        | 1.819625        | 0.00000000066376060204        | 0.902710
17300    | 9.090393        | 1.815308        | 0.00000000077380946095        | 0.902842
17400    | 9.055403        | 1.809687        | 0.00000000069729111374        | 0.902075
17500    | 9.046287        | 1.807378        | 0.00000000070554939668        | 0.902071
17600    | 9.065659        | 1.810848        | 0.00000000074632922065        | 0.902494
17700    | 9.054253        | 1.808521        | 0.00000000076385298087        | 0.902699
17800    | 9.037721        | 1.806164        | 0.00000000076983575070        | 0.902542
17900    | 9.015175        | 1.802491        | 0.00000000084338225292        | 0.902253
18000    | 9.020848        | 1.804149        | 0.00000000080942008651        | 0.902438
18100    | 9.007090        | 1.801816        | 0.00000000078846262852        | 0.902181
18200    | 8.984223        | 1.797516        | 0.00000000076445338948        | 0.901822
18300    | 8.952842        | 1.791704        | 0.00000000060822458181        | 0.901314
18400    | 8.927799        | 1.786375        | 0.00000000062935257006        | 0.901209
18500    | 8.901981        | 1.781783        | 0.00000000051308113314        | 0.901021
18600    | 8.883591        | 1.778516        | 0.00000000049089088350        | 0.900788
18700    | 8.888203        | 1.778782        | 0.00000000042070702477        | 0.900808
18800    | 8.884217        | 1.778281        | 0.00000000038668268587        | 0.900829
18900    | 8.851873        | 1.772325        | 0.00000000041822723063        | 0.900123
19000    | 8.841375        | 1.769970        | 0.00000000038521186241        | 0.900158
19100    | 8.835695        | 1.768787        | 0.00000000041211656310        | 0.900066
19200    | 8.838518        | 1.769528        | 0.00000000048350301540        | 0.900112
19300    | 8.831498        | 1.768224        | 0.00000000048820503196        | 0.900114
19400    | 8.850895        | 1.771951        | 0.00000000049141668512        | 0.900264
19500    | 8.831074        | 1.768301        | 0.00000000053462834160        | 0.899875
19600    | 8.816927        | 1.765728        | 0.00000000054098059366        | 0.899767
19700    | 8.830880        | 1.768942        | 0.00000000052949999940        | 0.899880
19800    | 8.811341        | 1.765425        | 0.00000000048127901664        | 0.899662
19900    | 8.814342        | 1.765583        | 0.00000000053976911829        | 0.899852
20000    | 8.814313        | 1.765087        | 0.00000000054957816076        | 0.900063
20100    | 8.794741        | 1.761367        | 0.00000000051707260695        | 0.900006
20200    | 8.787643        | 1.760073        | 0.00000000059783289430        | 0.899895
20300    | 8.783676        | 1.759144        | 0.00000000067843330953        | 0.900067
20400    | 8.754011        | 1.754569        | 0.00000000061814908747        | 0.899319
20500    | 8.732633        | 1.750814        | 0.00000000061420912800        | 0.899005
20600    | 8.717381        | 1.747497        | 0.00000000060668448043        | 0.898967
20700    | 8.743436        | 1.752650        | 0.00000000059054272583        | 0.899187
20800    | 8.727759        | 1.749640        | 0.00000000058706639550        | 0.899134
20900    | 8.721282        | 1.747718        | 0.00000000068106942308        | 0.899287
21000    | 8.719227        | 1.746940        | 0.00000000053366555619        | 0.899252
21100    | 8.708044        | 1.744850        | 0.00000000055400484200        | 0.899216
21200    | 8.702840        | 1.744221        | 0.00000000050143178498        | 0.899118
21300    | 8.681986        | 1.740843        | 0.00000000050786397310        | 0.898769
21400    | 8.687913        | 1.741554        | 0.00000000036070169074        | 0.899012
21500    | 8.678830        | 1.739390        | 0.00000000053286264290        | 0.899103
21600    | 8.687642        | 1.740897        | 0.00000000043661430027        | 0.899393
21700    | 8.725035        | 1.748020        | 0.00000000032457414534        | 0.899680
21800    | 8.734676        | 1.749600        | 0.00000000018856560757        | 0.899849
21900    | 8.710103        | 1.745368        | 0.00000000029661073597        | 0.899392
22000    | 8.701195        | 1.742996        | 0.00000000021764634539        | 0.899366
22100    | 8.690573        | 1.740935        | 0.00000000009150546987        | 0.899326
22200    | 8.679158        | 1.738808        | -0.00000000003246469760        | 0.899189
22300    | 8.663393        | 1.735792        | 0.00000000001267963512        | 0.898955
22400    | 8.645533        | 1.732866        | 0.00000000001089084378        | 0.898819
22500    | 8.631591        | 1.730194        | -0.00000000015125145580        | 0.898644
22600    | 8.656774        | 1.735086        | -0.00000000026467361636        | 0.899045
22700    | 8.664480        | 1.736415        | -0.00000000031417712876        | 0.899225
22800    | 8.657030        | 1.735547        | -0.00000000028870239532        | 0.898972
22900    | 8.633424        | 1.730993        | -0.00000000023307755725        | 0.898599
23000    | 8.610819        | 1.727150        | -0.00000000017329782054        | 0.898058
23100    | 8.589372        | 1.723156        | -0.00000000017741008662        | 0.897724
23200    | 8.577344        | 1.720675        | -0.00000000008371259241        | 0.897499
23300    | 8.567309        | 1.718610        | 0.00000000000954081258        | 0.897471
23400    | 8.583261        | 1.721449        | -0.00000000003312727870        | 0.897904
23500    | 8.578585        | 1.720021        | 0.00000000002736300075        | 0.898080
23600    | 8.559207        | 1.716380        | 0.00000000004579980839        | 0.897722
23700    | 8.587382        | 1.721763        | 0.00000000007112355149        | 0.898044
23800    | 8.583555        | 1.721021        | 0.00000000005437783557        | 0.898041
23900    | 8.570184        | 1.718509        | 0.00000000002323652382        | 0.898012
24000    | 8.548350        | 1.714055        | 0.00000000023441337760        | 0.897769
24100    | 8.534805        | 1.711591        | 0.00000000023708501828        | 0.897600
24200    | 8.534238        | 1.711416        | 0.00000000033537617128        | 0.897642
24300    | 8.620388        | 1.728302        | 0.00000000040415670810        | 0.897986
24400    | 8.642998        | 1.732661        | 0.00000000037529979124        | 0.898151
